Id,Probability
1,0.071406
2,0.0348879
3,0.034935
4,0.157231
5,0.136142
6,0.0344074
7,0.0633163
8,0.0314053
9,0.0262816
10,0.879589
11,0.0816555
12,0.0552746
13,0.0230437
14,0.112059
15,0.0358826
16,0.111482
17,0.021893
18,0.0933535
19,0.0513925
20,0.0615716
21,0.0509865
22,0.0251676
23,0.0275101
24,0.0485854
25,0.06907
26,0.0469614
27,0.0715911
28,0.0238073
29,0.0976268
30,0.0443825
31,0.063836
32,0.0432215
33,0.0381829
34,0.0471994
35,0.217229
36,0.0556304
37,0.102911
38,0.0387848
39,0.0771087
40,0.0460012
41,0.0729876
42,0.215453
43,0.0627883
44,0.035939
45,0.0419461
46,0.0166752
47,0.016546
48,0.0337431
49,0.0652454
50,0.0385209
51,0.0344772
52,0.0116543
53,0.0632035
54,0.0653217
55,0.0835669
56,0.0967779
57,0.0262997
58,0.200652
59,0.06731
60,0.15877
61,0.00728177
62,0.040613
63,0.120703
64,0.0361058
65,0.0740705
66,0.0180896
67,0.054815
68,0.101725
69,0.0350528
70,0.668263
71,0.0443604
72,0.115423
73,0.0196652
74,0.185827
75,0.0528764
76,0.0333991
77,0.049505
78,0.0804089
79,0.0294458
80,0.0761068
81,0.0537136
82,0.0417375
83,0.149167
84,0.013087
85,0.0334438
86,0.0602473
87,0.180846
88,0.0614469
89,0.140341
90,0.156532
91,0.10643
92,0.0473575
93,0.032594
94,0.0516574
95,0.0277632
96,0.0444487
97,0.0262363
98,0.0583216
99,0.0553407
100,0.12985
101,0.0566462
102,0.0743101
103,0.0290726
104,0.0660657
105,0.129166
106,0.161402
107,0.251309
108,0.015804
109,0.0323798
110,0.0579265
111,0.0340466
112,0.096637
113,0.0838425
114,0.0481563
115,0.115175
116,0.0240667
117,0.0311752
118,0.123805
119,0.0713834
120,0.035677
121,0.0344971
122,0.0568867
123,0.0446041
124,0.0514034
125,0.0620309
126,0.0178522
127,0.00997911
128,0.0574474
129,0.0334267
130,0.0781551
131,0.0442999
132,0.0684084
133,0.0324537
134,0.0885309
135,0.0471043
136,0.0164013
137,0.078865
138,0.0702312
139,0.0307211
140,0.095341
141,0.0184026
142,0.0389608
143,0.0175799
144,0.0918429
145,0.0960569
146,0.117401
147,0.0201405
148,0.145394
149,0.0432418
150,0.0309793
151,0.0300403
152,0.0552587
153,0.0236531
154,0.0357548
155,0.0444874
156,0.0543151
157,0.0835458
158,0.0276075
159,0.0552234
160,0.0677881
161,0.0290478
162,0.0427609
163,0.062063
164,0.0681404
165,0.0501139
166,0.0579144
167,0.0470711
168,0.1001
169,0.1366
170,0.0441461
171,0.0173974
172,0.0263923
173,0.0742787
174,0.103049
175,0.0563551
176,0.0958002
177,0.0503819
178,0.0329969
179,0.0265652
180,0.0252617
181,0.190173
182,0.0588621
183,0.0490248
184,0.0200309
185,0.0393616
186,0.0320846
187,0.0476544
188,0.0683584
189,0.0447547
190,0.0649267
191,0.0535851
192,0.0559475
193,0.0306977
194,0.0409736
195,0.0863259
196,0.0585883
197,0.0210284
198,0.0275986
199,0.0458523
200,0.0235459
201,0.0712887
202,0.0161863
203,0.25256
204,0.018597
205,0.0215567
206,0.0273238
207,0.0545105
208,0.0279762
209,0.10245
210,0.0131279
211,0.160082
212,0.0760205
213,0.0428838
214,0.0425756
215,0.103284
216,0.0995709
217,0.0145623
218,0.07344
219,0.0403927
220,0.021668
221,0.0884631
222,0.0219057
223,0.04785
224,0.0467755
225,0.0292322
226,0.100624
227,0.0519689
228,0.0451415
229,0.0552388
230,0.244773
231,0.357524
232,0.0261302
233,0.0251893
234,0.0254876
235,0.020805
236,0.14874
237,0.0240222
238,0.0145012
239,0.12897
240,0.0572484
241,0.0510103
242,0.0448061
243,0.0294132
244,0.026406
245,0.123291
246,0.0158415
247,0.0751367
248,0.0192245
249,0.0359192
250,0.105498
251,0.0289958
252,0.0578587
253,0.0382452
254,0.0822375
255,0.0117583
256,0.0503385
257,0.0705721
258,0.0827562
259,0.0353805
260,0.133737
261,0.0646698
262,0.0620927
263,0.0192901
264,0.104226
265,0.0548494
266,0.0660607
267,0.101091
268,0.0916406
269,0.0302316
270,0.0372657
271,0.0191969
272,0.0676372
273,0.0206045
274,0.0331929
275,0.0161164
276,0.0795422
277,0.0213409
278,0.0436228
279,0.0574681
280,0.105478
281,0.439633
282,0.0644772
283,0.0509977
284,0.0296532
285,0.037734
286,0.074845
287,0.0912976
288,0.103905
289,0.0462857
290,0.0566077
291,0.161017
292,0.0179111
293,0.0927513
294,0.0433882
295,0.0168929
296,0.0883481
297,0.0277578
298,0.0376867
299,0.0214223
300,0.0258012
301,0.0927541
302,0.0342914
303,0.0200067
304,0.0254529
305,0.215559
306,0.0397144
307,0.00887997
308,0.883868
309,0.183556
310,0.0922467
311,0.422528
312,0.0527138
313,0.191928
314,0.0202536
315,0.107417
316,0.0918619
317,0.200502
318,0.0336829
319,0.0299811
320,0.0534636
321,0.161647
322,0.0559507
323,0.0504037
324,0.0617807
325,0.0991761
326,0.0195283
327,0.019155
328,0.0312559
329,0.10018
330,0.0319915
331,0.106115
332,0.0386847
333,0.0764013
334,0.0361311
335,0.0422937
336,0.0453632
337,0.111601
338,0.0207084
339,0.0497013
340,0.115177
341,0.0276942
342,0.0437418
343,0.057149
344,0.0445742
345,0.0187768
346,0.027844
347,0.194088
348,0.0844623
349,0.060082
350,0.0568583
351,0.0437851
352,0.0448193
353,0.0232033
354,0.06139
355,0.0434949
356,0.0304979
357,0.0822784
358,0.0218153
359,0.0283576
360,0.0934076
361,0.0681066
362,0.0828151
363,0.0344452
364,0.0802394
365,0.257004
366,0.189197
367,0.112414
368,0.0390346
369,0.0277393
370,0.091521
371,0.0545682
372,0.0866456
373,0.041805
374,0.048764
375,0.048325
376,0.0135872
377,0.0868575
378,0.0217873
379,0.0577874
380,0.0513395
381,0.0727336
382,0.0261891
383,0.012855
384,0.159705
385,0.0241209
386,0.0277258
387,0.0309026
388,0.0770918
389,0.0233266
390,0.0420422
391,0.0255773
392,0.0337128
393,0.0192575
394,0.137081
395,0.0117991
396,0.0209811
397,0.0267506
398,0.0670565
399,0.02486
400,0.0717085
401,0.0184805
402,0.0217793
403,0.0405145
404,0.0230358
405,0.00107829
406,0.0208525
407,0.0337783
408,0.0595182
409,0.0964801
410,0.0661104
411,0.0809915
412,0.0367371
413,0.0929079
